programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00122,COLLEGE STATION ISD,Educational Institution,Public,6,3,021-901,BRAZOS,1,2019-08-01T00:00:00.000,63,0,172,0,0,115.9200,0,598.5600,0,0,714.4800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00129,BROOKS COUNTY ISD,Educational Institution,Public,1,5,024-901,BROOKS,3,2019-06-01T00:00:00.000,2877,0,5899,0,0,6156.7800,0,19997.6100,0,0,26154.3900
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00129,BROOKS COUNTY ISD,Educational Institution,Public,1,5,024-901,BROOKS,3,2019-07-01T00:00:00.000,49,0,45,0,0,107.8000,0,157.5000,0,0,265.3000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00137,CALDWELL ISD,Educational Institution,Public,6,3,026-901,BURLESON,1,2019-06-01T00:00:00.000,518,0,932,0,0,1108.5200,0,3159.4800,0,0,4268.0000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00137,CALDWELL ISD,Educational Institution,Public,6,3,026-901,BURLESON,1,2019-07-01T00:00:00.000,48,0,48,0,0,105.6000,0,168.0000,0,0,273.6000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00137,CALDWELL ISD,Educational Institution,Public,6,3,026-901,BURLESON,1,2019-08-01T00:00:00.000,12,0,12,0,0,26.4000,0,42.0000,0,0,68.4000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00139,SNOOK ISD,Educational Institution,Public,6,3,026-903,BURLESON,1,2019-06-01T00:00:00.000,462,0,585,0,0,988.6800,0,1983.1500,0,0,2971.8300
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00142,LOCKHART ISD,Educational Institution,Public,13,4,028-902,CALDWELL,1,2019-05-01T00:00:00.000,112,0,139,0,0,239.6800,0,471.2100,0,0,710.8900
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00142,LOCKHART ISD,Educational Institution,Public,13,4,028-902,CALDWELL,9,2019-06-01T00:00:00.000,7900,0,11725,0,0,16779.3000,0,39747.7500,0,0,56527.0500
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00142,LOCKHART ISD,Educational Institution,Public,13,4,028-902,CALDWELL,7,2019-07-01T00:00:00.000,2251,0,3175,0,0,4850.6800,0,11112.5000,0,0,15963.1800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00142,LOCKHART ISD,Educational Institution,Public,13,4,028-902,CALDWELL,3,2019-08-01T00:00:00.000,134,0,249,0,0,285.8000,0,871.5000,0,0,1157.3000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00145,CALHOUN CO ISD,Educational Institution,Public,3,3,029-901,CALHOUN,3,2019-06-01T00:00:00.000,2063,0,1855,0,0,4414.8200,0,6288.4500,0,0,10703.2700
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00145,CALHOUN CO ISD,Educational Institution,Public,3,3,029-901,CALHOUN,1,2019-07-01T00:00:00.000,1218,0,835,0,0,2679.6000,0,2922.5000,0,0,5602.1000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00145,CALHOUN CO ISD,Educational Institution,Public,3,3,029-901,CALHOUN,1,2019-08-01T00:00:00.000,94,0,68,0,0,206.8000,0,238.0000,0,0,444.8000
